Venue,Neighborhood,Address,Website,Source(s) configured,Source status,Shows in shows.json,Sources returning data,Do312 URL,JSON-LD URL,Registry ID,Notes
Joe's on Weed,,940 W Weed St.,https://www.joesbar.com,One-off,Established,21,venue-site,,,joe-s-on-weed,
Reggies Music Joint,South Loop,2105 S State St.,https://www.reggieslive.com/,Do312,Established,21,do312,https://do312.com/venues/reggies-music-joint,,reggies-music-joint,
Old Town School of Folk Music,Lincoln Square,4544 North Lincoln Ave.,https://www.oldtownschool.org/concerts/,Do312,Established,20,do312,https://do312.com/venues/old-town-school-of-folk-music,,old-town-school-of-folk-music,
The Whistler,Logan Square,2421 N Milwaukee Ave,https://whistlerchicago.com,Do312,Established,20,do312,https://do312.com/venues/the-whistler,,the-whistler,
Winter's Jazz Club,,465 N McClurg Ct,https://www.wintersjazzclub.com,JSON-LD,Established,20,venue-site,,https://www.wintersjazzclub.com,winter-s-jazz-club,
Concord Music Hall,Logan Square,2051 N Milwaukee Ave,https://concordmusichall.com/calendar/,Do312,Established,19,do312,https://do312.com/venues/concord-music-hall,,concord-music-hall,
Symphony Center,The Loop,,,Do312,Established,19,do312,https://do312.com/venues/chicago-symphony-orchestra,,symphony-center,
United Center,Near West Side,1901 W Madison St.,https://www.unitedcenter.com/events/month/,Do312,Established,18,do312,https://do312.com/venues/united-center,,united-center,
Avondale Music Hall,,,,Do312,Established,17,do312,https://do312.com/venues/avondale-music-hall,,avondale-music-hall,
Blue Chicago,,536 N Clark St,https://www.bluechicago.com,Do312,Established,17,do312,https://do312.com/venues/blue-chicago,,blue-chicago,
Gallery Cabaret,,,,Do312; AskAPunk,Established,17,askapunk; do312,https://do312.com/venues/gallery-cabaret,,gallery-cabaret,
PRYSM,Goose Island,1543 North Kingsbury St.,https://www.prysmchicago.com,Do312,Established,17,do312,https://do312.com/venues/prysm,,prysm,
Gman Tavern,Lakeview,3740 N Clark St.,https://gmantavern.com/,Do312,Established,16,do312,https://do312.com/venues/gman-tavern,,gman-tavern,
Huntington Bank Pavilion,,,,Do312,Established,16,do312,https://do312.com/venues/huntington-bank-pavilion,,huntington-bank-pavilion,
aliveOne,,2683 N Halsted St.,https://www.aliveone.com/upcomingevents,Do312,Established,15,do312,https://do312.com/venues/aliveone,,aliveone,
Smartbar,Lakeview,3730 N Clark St,https://smartbarchicago.com,Do312,Established,15,do312,https://do312.com/venues/smartbar,,smartbar,
Spybar,,646 North Franklin St,https://www.spybarchicago.com,Do312; DICE,Established,14,dice; do312,https://do312.com/venues/spybar,,spybar,
Elastic Arts,,3429 W. Diversey #208,https://elasticarts.org/events,Do312; JSON-LD,Established,13,venue-site,https://do312.com/venues/elastic-arts,https://elasticarts.org/events,elastic-arts,
Beauty Bar,,1444 W Chicago Ave,https://www.beautybarchicago.com,Do312; One-off,Established,11,venue-site,https://do312.com/venues/beauty-bar,,beauty-bar,
Dorian's,,1939 W North Ave.,https://throughtherecordshop.com/events/,One-off,Established,11,venue-site,,,dorian-s,
Smoke & Mirrors,,2045 N Milwaukee Ave,https://www.instagram.com/smokeandmirrorschicago/?hl=en,Do312; DICE,Established,11,dice; do312,https://do312.com/venues/smoke-mirrors,,smoke-mirrors,
Sleeping Village,Avondale,3734 W. Belmont Ave.,https://sleeping-village.com/,JSON-LD; DICE; AskAPunk,Established,10,askapunk; dice; venue-site,,https://sleeping-village.com/,sleeping-village,
Hungry Brain,Roscoe Village,2319 W. Belmont,https://hungrybrainchicago.com,Do312,Established,9,do312,https://do312.com/venues/hungry-brain,,hungry-brain,
Lemon,,1600 W Grand Ave,https://www.lemonchicago.net,Do312,Established,9,do312,https://do312.com/venues/lemon,,lemon,
Soldier Field,Museum Campus,,,Do312,Established,9,do312,https://do312.com/venues/soldier-field,,soldier-field,
Broken Hearts,,1009 West Lake Street,https://www.brokenheartsbar.com,Do312,Established,8,do312,https://do312.com/venues/broken-hearts,,broken-hearts,
Navy Pier,,600 E Grand Ave,https://navypier.org,Do312,Established,8,do312,https://do312.com/venues/navy-pier,,navy-pier,
Cubby Bear,,1059 W. Addison St.,https://www.cubbybear.com/live-music,Do312,Established,7,do312,https://do312.com/venues/cubby-bear,,cubby-bear,
Podlasie Club,,2918 N Central Park Ave,https://www.podlasiechicago.com,Do312,Established,7,do312,https://do312.com/venues/podlasie-club,,podlasie-club,
Copernicus Center,,5216 W. Lawrence Ave.,https://copernicuscenter.org/upcoming-events/,Do312,Established,6,do312,https://do312.com/venues/copernicus-center,,copernicus-center,
Lee's Unleaded Blues,,7401 S South Chicago Ave,https://www.leesunleadedblues.com,Do312; JSON-LD; One-off,Established,6,venue-site,https://do312.com/venues/lees-unleaded-blues,https://www.leesunleadedblues.com,lee-s-unleaded-blues,
Liar's Club,West Town,1665 W Fullerton Ave,https://www.facebook.com/liarsclubchicago/events/?ref=page_internal,Do312; AskAPunk,Established,6,askapunk; do312,https://do312.com/venues/liar-s-club,,liar-s-club,
LiveWire Lounge,,3394 N Milwaukee Ave,https://www.facebook.com/LiveWireLoungeChicago/events,Do312,Established,6,do312,https://do312.com/venues/livewire-lounge,,livewire-lounge,
Bourbon on Division,Wicker Park,1565 N Milwaukee Ave.,https://bourbonondivision.com,Do312; DICE,Established,5,dice; do312,https://do312.com/venues/bourbon-on-division,,bourbon-on-division,
California Clipper,Humboldt Park,1002 N. California Ave,https://www.californiaclipper.com/events-2,Do312,Established,5,do312,https://do312.com/venues/the-california-clipper,,california-clipper,
Cermak Hall,,640 W Cermak Rd,https://www.radius-chicago.com,Do312,Established,5,do312,https://do312.com/venues/cermak-hall,,cermak-hall,
Fulton Street Collective,,,,Do312,Established,5,do312,https://do312.com/venues/fulton-street-collective,,fulton-street-collective,
Millennium Park,The Loop,,,Do312,Established,5,do312,https://do312.com/venues/millennium-park,,millennium-park,
The Atlantic,,5062 N Lincoln Ave,https://theatlanticbarandgrill.com,Do312; One-off; AskAPunk,Established,5,askapunk; venue-site,https://do312.com/venues/the-atlantic-bar-grill,,the-atlantic,
Athenaeum Center,,,,Do312,Established,4,do312,https://do312.com/venues/athenaeum-center,,athenaeum-center,
Credit Union 1 Arena,,,,Do312,Established,4,do312,https://do312.com/venues/credit-union-1-arena,,credit-union-1-arena,
The Tonk,,1800 S Racine Ave,https://thetonkchicago.com,Do312; JSON-LD,Established,4,venue-site,https://do312.com/venues/the-tonk,https://thetonkchicago.com/upcoming-events/,the-tonk,
Wild Hare,West Loop,952-954 W Fulton St,https://www.wildharemusic.com,Do312; One-off,Established,4,do312; venue-site,https://do312.com/venues/the-wild-hare,,wild-hare,
Cary's Lounge,,2251 W Devon Ave,https://caryslounge.com,One-off,Established,3,venue-site,,,cary-s-lounge,
ÉLA Nightclub,,,,Do312,Established,3,do312,https://do312.com/venues/ela-nightclub,,la-nightclub,Do312 + DICE profile exist but currently empty — nightclub one-offs
Punch House,,18 S Allport,https://www.punchhousechicago.com,Do312; One-off,Established,3,venue-site,https://do312.com/venues/punch-house,,punch-house,
Reed's Local,,3017 W Belmont,https://reedslocal.com/events/,Do312; One-off,Established,3,venue-site,https://do312.com/venues/reed-s-local,,reed-s-local,
Wintrust Arena,South Loop,,,Do312,Established,3,do312,https://do312.com/venues/wintrust-arena,,wintrust-arena,
Tack Room,,1227 W. 18th Street,https://www.tackroomchicago.com/happenings,Do312,Established,2,do312,https://do312.com/venues/tack-room,,tack-room,
Casa Cafe,,2025 S Western Ave,,AskAPunk,Established,1,askapunk,,,casa-cafe,Ask A Punk (Gancio API) — South Side DIY anchor
City Winery,West Loop,1200 W Randolph St.,https://www.citywinery.com/chicago/Online/default.asp?BOparam::WScontent::loadArticle::permalink=chicago-concerts&BOparam::WScontent::loadArticle::context_id=&menu_id=E581C2AF-D548-4D70-A2E3-9A263C7F0CE7,Do312,Established,1,do312,https://do312.com/venues/city-winery,,city-winery,
Dorothy,,2500 W Chicago Ave,https://www.eventbrite.com/o/dorothy-40277753383,Do312,Established,1,do312,https://do312.com/venues/dorothy,,dorothy,
Goldstar Bar,,,,Do312; AskAPunk,Established,1,askapunk,https://do312.com/venues/gold-star-bar,,goldstar-bar,
Illuminated Brewery,Norwood Park,6186 N Northwest Hwy,https://www.ibw-chicago.com,Do312; One-off,Established,1,venue-site,https://do312.com/venues/illuminated-brew-works,,illuminated-brewery,
The CheckOut,,4116 N Clark St,https://thecheckout.org,Do312,Established,1,do312,https://do312.com/venues/the-checkout,,the-checkout,
Wrigley Field,Wrigleyville,,,Do312,Established,1,do312,https://do312.com/venues/wrigley-field,,wrigley-field,
2153 W Irving Park Rd,,,,,No source,0,,,,2153-w-irving-park-rd,"Painters' union rental hall — one-off DIY shows, no calendar"
309 N Morgan St,,,,Do312,Configured but no data,0,,https://do312.com/venues/309-n-morgan-st,,309-n-morgan-st,
868 N. Franklin Street,,,,,No source,0,,,,868-n-franklin-street,Private-rental event space (Experience 868) — no public calendar
After Chicago,,,,Do312,Configured but no data,0,,https://do312.com/venues/after-chicago,,after-chicago,
Alhambra Palace,,,,Do312,Configured but no data,0,,https://do312.com/venues/alhambra-palace,,alhambra-palace,
Aon Grand Ballroom,,,,Do312,Configured but no data,0,,https://do312.com/venues/aon-grand-ballroom,,aon-grand-ballroom,
Arbella,,112 W Grand Ave,https://arbellachicago.com,Do312; One-off,Configured but no data,0,,https://do312.com/venues/arbella,,arbella,
Auditorium Theatre,The Loop,50 E Ida B Wells Dr,https://mytickets.auditoriumtheatre.org/events?queueittoken=e_onsalegaymenschorus~q_4e2397f7-2f10-404a-9ade-588be3d54e5b~ts_1698460895~ce_true~rt_safetynet~h_13eaa5f36970ec802c42144c8c8b7b05f14d90c36a003f60aea0760298cf2183,Do312,Configured but no data,0,,https://do312.com/venues/auditorium-theatre,,auditorium-theatre,
Bassline,,,,Do312,Configured but no data,0,,https://do312.com/venues/bassline,,bassline,
Bassment,,,,Do312,Configured but no data,0,,https://do312.com/venues/bassment,,bassment,
Bernice’s Tavern,,,,Do312,Configured but no data,0,,https://do312.com/venues/bernice-s-tavern,,bernice-s-tavern,
Berwyn Stage,,,,,No source,0,,,,berwyn-stage,Midsommarfest festival stage (Clark & Berwyn) — not a year-round venue
Blind Barber,,948 W Fulton Market,https://www.instagram.com/blindbarber_chicago/?hl=en,Do312,Configured but no data,0,,https://do312.com/venues/blind-barber,,blind-barber,
Bond Chapel,,,,Do312,Configured but no data,0,,https://do312.com/venues/bond-chapel,,bond-chapel,
Bricktown,,2324 W Nelson St,https://www.instagram.com/bricktownchicago/?hl=en,,No source,0,,,,bricktown,Ask A Punk + IG (@bricktownchicago)
Broken Shaker,,,,,No source,0,,,,broken-shaker,"Open (Freehand Hotel cocktail bar) — DJ one-offs on IG, no calendar feed"
Brudder's Sports Bar,,3600 N Pulaski Rd,https://www.bruddersbargrill.com/,,No source,0,,,,brudder-s-sports-bar,Site is a JS pizza-platform SPA — no events data
Brudders',,,,Do312,Configured but no data,0,,https://do312.com/venues/brudders,,brudders,
Burlington Bar,Logan Square,3425 W. Fullerton Ave.,https://www.theburlingtonbar.com,Do312,Configured but no data,0,,https://do312.com/venues/burlington-bar,,burlington-bar,
Cafe Modulaire,,,,,No source,0,,,,cafe-modulaire,"IG-only (@cafe.modulaire) — Cargo site, no calendar"
Cafe Mustache,Logan Square,2313 N Milwaukee Ave.,http://cafemustache.com/#Calendar,Do312,Configured but no data,0,,https://do312.com/venues/cafe-mustache,,cafe-mustache,
Cara Cara Club,,2545 N Kedzie Blvd,https://www.caracarachicago.com,Do312,Configured but no data,0,,https://do312.com/venues/cara-cara-club,,cara-cara-club,
Carol's Pub,Uptown,4659 N Clark St.,https://www.carolspub.com/music.html,JSON-LD,Configured but no data,0,,,https://www.carolspub.com/music.html,carol-s-pub,
City Hall,,,,Do312,Configured but no data,0,,https://do312.com/venues/city-hall,,city-hall,
Cobb Hall,,,,,No source,0,,,,cobb-hall,UChicago classroom building (Renaissance Society upstairs) — no own calendar; Do312/Renaissance Society cover it
Drip Collective,,,,Do312,Configured but no data,0,,https://do312.com/venues/drip-collective,,drip-collective,
Easy Does It,,2354 N Milwaukee Ave,https://www.instagram.com/easydoesitchicago/,Do312,Configured but no data,0,,https://do312.com/venues/easy-does-it,,easy-does-it,
Expat,,,,Do312,Configured but no data,0,,https://do312.com/venues/expat,,expat,
Experimental Sound Studio,,,,Do312,Configured but no data,0,,https://do312.com/venues/experimental-sound-studio,,experimental-sound-studio,
EZ Inn,,,,Do312,Configured but no data,0,,https://do312.com/venues/ez-inn,,ez-inn,
Festival Hall,,,,Do312,Configured but no data,0,,https://do312.com/venues/festival-hall,,festival-hall,
George Street Pub,,,,Do312,Configured but no data,0,,https://do312.com/venues/george-street-pub,,george-street-pub,
Giant Penny Whistle Tavern,,1854 S Blue Island Ave.,https://www.giantpennywhistle.com/shows,Do312,Configured but no data,0,,https://do312.com/venues/giant-penny-whistle-tavern,,giant-penny-whistle-tavern,Wix /shows page renders empty — IG flyers; Do312 configured as fallback
Golden Dagger,Lincoln Park,2447 N. Halsted St.,https://goldendagger.com,Do312,Configured but no data,0,,https://do312.com/venues/golden-dagger,,golden-dagger,CLOSED late 2023 (now Hunters on Halsted dog bar); goldendagger.com lapsed
Grapes & Grains,,,,Do312,Configured but no data,0,,https://do312.com/venues/grapes-grains,,grapes-grains,
Grill on 21,,,,Do312,Configured but no data,0,,https://do312.com/venues/grill-on-21,,grill-on-21,
Home Away From Home,,3477 N Clark St,https://homeawaysportsbar.com,Do312,Configured but no data,0,,https://do312.com/venues/home-away-from-home,,home-away-from-home,"Site has prose only ('live music weekly'), no listings — socials"
Hoste,,,,Do312,Configured but no data,0,,https://do312.com/venues/hoste,,hoste,
HVAC Pub,,,,Do312,Configured but no data,0,,https://do312.com/venues/hvac-pub,,hvac-pub,
Icon Bar and Lounge,,,,Do312,Configured but no data,0,,https://do312.com/venues/icon-bar-and-lounge,,icon-bar-and-lounge,
J Parker Rooftop,,,,Do312,Configured but no data,0,,https://do312.com/venues/j-parker-rooftop,,j-parker-rooftop,
Jarvis Square Tavern,,,,Do312,Configured but no data,0,,https://do312.com/venues/jarvis-square-tavern,,jarvis-square-tavern,
Judson & Moore,,3057 N Rockwell St,https://judsonandmoore.com/pages/events,,No source,0,,,,judson-moore,Events page is a DICE JS embed widget (widgets.dice.fm) — no plain-fetch source; watch DICE browse
Kimbark Fourth State,,,,,No source,0,,,,kimbark-fourth-state,"Hyde Park promoter collective, likely wound down (farewell show on RA)"
La Victoria Barra + Cocina,Logan Square,2447 N Milwaukee Ave,,Do312,Configured but no data,0,,https://do312.com/venues/la-victoria,,la-victoria-barra-cocina,
Lazy Bird,,,,Do312,Configured but no data,0,,https://do312.com/venues/lazy-bird,,lazy-bird,
Le Piano,,6970 N Glenwood Ave,https://www.lepianochicago.com,Do312; One-off,Configured but no data,0,,https://do312.com/venues/le-piano,,le-piano,
Local Option,,,,Do312,Configured but no data,0,,https://do312.com/venues/local-option,,local-option,
Local Soul,,,,Do312,Configured but no data,0,,https://do312.com/venues/local-soul,,local-soul,
Logan Center,Hyde Park,915 E 60th St,,Do312,Configured but no data,0,,https://do312.com/venues/logan-center-for-the-arts,,logan-center,
Los Globos,,3059 S Central Park Ave,https://www.instagram.com/losgloboschicago,,No source,0,,,,los-globos,IG-only (@losgloboschicago); Tickeri venue page exists but currently empty
Masada Nightclub,,2206 N California Ave,https://masadachicago.com,Do312,Configured but no data,0,,https://do312.com/venues/masada-nightclub,,masada-nightclub,
Monday Blues Lounge,,,,Do312,Configured but no data,0,,https://do312.com/venues/monday-blues-lounge,,monday-blues-lounge,
Montrose Saloon,,2933 W Montrose Ave,https://www.facebook.com/montrosesaloon/events/?ref=page_internal,Do312,Configured but no data,0,,https://do312.com/venues/montrose-saloon,,montrose-saloon,
Navy Pier Beer Garden,,,,Do312,Configured but no data,0,,https://do312.com/venues/navy-pier-beer-garden,,navy-pier-beer-garden,
Necessary & Sufficient Coffee,,,,Do312,Configured but no data,0,,https://do312.com/venues/necessary-and-sufficient-coffee,,necessary-sufficient-coffee,
Never Have I Ever,,2247 N Lincoln Ave,https://neverhaveieverbar.com,Do312; One-off,Configured but no data,0,,https://do312.com/venues/never-have-i-ever,,never-have-i-ever,
Nine Bar,,,,Do312,Configured but no data,0,,https://do312.com/venues/nine-bar,,nine-bar-2,
O's Tap,,,,Do312,Configured but no data,0,,https://do312.com/venues/o-s-tap,,o-s-tap,
Opus,,,,Do312,Configured but no data,0,,https://do312.com/venues/opus,,opus,
Parallel Play,,,,,No source,0,,,,parallel-play,Roving community org — Eventbrite organizer page is JS-only
Phyllis' Musical Inn,Wicker Park,1800 W Division St,https://www.facebook.com/phyllismusicalinn/events/?ref=page_internal,Do312,Configured but no data,0,,https://do312.com/venues/phyllis-musical-inn,,phyllis-musical-inn,
Pilsen Yards,,1163 West 18th St,https://www.pilsenyards.com,Do312,Configured but no data,0,,https://do312.com/venues/pilsen-yards,,pilsen-yards,
Polk Bros Park,,,,Do312,Configured but no data,0,,https://do312.com/venues/polk-bros-park,,polk-bros-park,
Primary,,5 W Division St.,,Do312,Configured but no data,0,,https://do312.com/venues/primary-night-club,,primary,Open again; primarychi.com domain hijacked (spam) — sourced via Do312
Recess,,,,Do312,Configured but no data,0,,https://do312.com/venues/recess,,recess,
Richard J. Daley-Bridgeport Library,,,,,No source,0,,,,richard-j-daley-bridgeport-library,"CPL BiblioCommons events (chipublib.bibliocommons.com) — identified, not implemented"
Simon's Tavern,,,,Do312,Configured but no data,0,,https://do312.com/venues/simon-s-tavern,,simon-s-tavern,
Skylark,,,,Do312,Configured but no data,0,,https://do312.com/venues/skylark,,skylark,
Sportsman's Club,,,,Do312,Configured but no data,0,,https://do312.com/venues/sportsman-s-club,,sportsman-s-club,
Stardust Lounge,River North,710 N Clark St,,,No source,0,,,,stardust-lounge,Promo site only (stardustchi.com) — no listings feed found
Studebaker Theater,,,,Do312,Configured but no data,0,,https://do312.com/venues/studebaker-theater,,studebaker-theater,
Sweethearts Bar,,,,,No source,0,,,,sweethearts-bar,"IG-only (@sweetheartschicago) — no events page, no Do312"
Swig,,,,Do312,Configured but no data,0,,https://do312.com/venues/swig,,swig,
TAO,,632 N Dearborn St,https://taogroup.com/venues/tao-asian-bistro-chicago/,,No source,0,,,,tao,Events render via UrVenue/SevenRooms JS apps — no plain-fetch source
The BlkRoom,,4015 W Carroll Ave Unit 204,https://www.theblkroom.org,One-off,Configured but no data,0,,,,the-blkroom,
The Charleston,,2076 N Hoyne Ave,https://www.instagram.com/thecharleston/,Do312,Configured but no data,0,,https://do312.com/venues/the-charleston,,the-charleston,
The Land School,,,,Do312,Configured but no data,0,,https://do312.com/venues/the-land-school,,the-land-school,
The Levee,,,,Do312,Configured but no data,0,,https://do312.com/venues/the-levee,,the-levee,
The Mine,West Loop,1431 W Lake St,,Do312,Configured but no data,0,,https://do312.com/venues/the-mine-music-hall,,the-mine,Do312 (the-mine-music-hall); own site is JS-only
The Native,,,,Do312,Configured but no data,0,,https://do312.com/venues/the-native,,the-native,
The Owl,,2521 N Milwaukee Ave,https://www.owlbarchicago.com/menus,Do312,Configured but no data,0,,https://do312.com/venues/the-owl,,the-owl,
The Renaissance Society,,,,Do312,Configured but no data,0,,https://do312.com/venues/the-renaissance-society,,the-renaissance-society,
The Rhapsody Theater,,,,Do312,Configured but no data,0,,https://do312.com/venues/the-rhapsody-theater,,the-rhapsody-theater,
The Sovereign,Edgewater,6202 N Broadway,,Do312,Configured but no data,0,,https://do312.com/venues/sovereign-liquors,,the-sovereign,
The Store,,,,Do312,Configured but no data,0,,https://do312.com/venues/the-store,,the-store,
Three Top Lounge,,1357 N Elston Ave,https://www.threetoploungechicago.com,,No source,0,,,,three-top-lounge,"No calendar anywhere (16"" On Center property) — IG @threetoplounge"
Trace,,3714 N Clark St,https://tracechicago.com,Do312,Configured but no data,0,,https://do312.com/venues/trace,,trace,Temporarily closed — site says 'Closed for Remodel'; re-check later
Underground Lounge,,952 W Newport Ave,https://www.facebook.com/ULoungeChicago?fref=ts,Do312,Configured but no data,0,,https://do312.com/venues/underground-lounge,,underground-lounge,
Union League Club of Chicago,,,,Do312,Configured but no data,0,,https://do312.com/venues/union-league-club-of-chicago,,union-league-club-of-chicago,
United Church Of Rogers Park,,,,Do312,Configured but no data,0,,https://do312.com/venues/united-church-of-rogers-park,,united-church-of-rogers-park,
Wave Wall Stage,,,,Do312,Configured but no data,0,,https://do312.com/venues/wave-wall-stage,,wave-wall-stage,
Wax,,1549 W Chicago Ave,https://www.waxvinylbar.com,,No source,0,,,,wax,IG-only (@waxvinylbar) — Wix site has no live events data
Weeds Tavern,,,,Do312,Configured but no data,0,,https://do312.com/venues/weeds-tavern,,weeds-tavern,
West Town Bikes,,,,Do312,Configured but no data,0,,https://do312.com/venues/west-town-bikes,,west-town-bikes,
Workshop 4200,,,,Do312,Configured but no data,0,,https://do312.com/venues/workshop-4200,,4200-w-diversey,
